               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022765,           0.0093849,            0.032341,             0.54942,             0.91723,             0.77969,             0.70657,           0.0079206,             0.00315,            0.021149,               0.091,               0.001,               0.001
                   1,            0.021669,           0.0082417,            0.028992,             0.53668,               0.875,             0.77362,             0.63208,            0.012452,           0.0031935,            0.021122,            0.081017,           0.0020168,           0.0020168
                   2,            0.028543,           0.0092376,            0.030117,             0.53515,             0.87904,             0.78367,             0.57208,            0.016695,           0.0032834,            0.020699,            0.070947,           0.0029466,           0.0029466
                   3,            0.030387,           0.0081009,            0.025971,             0.59209,             0.96952,             0.77362,             0.62795,            0.013525,           0.0032819,            0.020155,            0.060789,           0.0037892,           0.0037892
                   4,            0.032206,           0.0093001,            0.030127,             0.45323,             0.92087,             0.71775,             0.40008,            0.019729,           0.0033235,            0.020076,            0.050545,           0.0045446,           0.0045446
                   5,             0.03373,            0.010073,            0.030708,             0.54518,             0.97165,             0.77362,             0.55987,            0.017946,           0.0034302,            0.020081,            0.040213,            0.005213,            0.005213
                   6,            0.034938,           0.0098909,            0.032095,             0.48292,              0.9904,             0.77326,             0.68794,            0.012852,           0.0035785,            0.019369,            0.029794,           0.0057942,           0.0057942
                   7,            0.037157,           0.0090043,             0.02793,             0.59553,             0.89168,             0.80488,             0.62901,            0.015257,            0.003468,            0.019061,            0.019288,           0.0062884,           0.0062884
                   8,            0.037857,            0.010391,             0.02905,             0.44009,             0.95579,             0.75664,             0.47403,            0.020697,           0.0036065,            0.019347,           0.0086954,           0.0066954,           0.0066954
                   9,             0.03496,           0.0092897,            0.028349,             0.44364,             0.96719,              0.6582,              0.3952,            0.022113,            0.003575,            0.018173,            0.006436,            0.006436,            0.006436
                  10,            0.033305,           0.0093752,            0.030257,             0.55362,             0.98523,             0.74136,             0.46168,            0.020481,           0.0041278,            0.017665,            0.006436,            0.006436,            0.006436
                  11,            0.036138,           0.0096266,            0.027093,             0.49814,               0.875,             0.73714,              0.5603,            0.016506,           0.0047663,             0.01559,             0.00604,             0.00604,             0.00604
                  12,            0.031054,           0.0087387,            0.024333,             0.51108,               0.875,             0.72827,             0.45537,            0.022591,           0.0041827,            0.014828,            0.005644,            0.005644,            0.005644
                  13,            0.033621,           0.0080813,            0.023985,             0.68931,             0.94026,             0.82917,             0.56907,            0.017474,           0.0038347,            0.014244,            0.005248,            0.005248,            0.005248
                  14,             0.03163,           0.0092574,            0.024075,             0.75349,             0.85307,             0.94083,             0.57462,            0.023508,           0.0038827,            0.013011,            0.004852,            0.004852,            0.004852
                  15,            0.030114,           0.0088624,            0.022077,             0.93748,             0.94312,               0.995,             0.73999,            0.014046,           0.0036179,            0.011919,            0.004456,            0.004456,            0.004456
                  16,            0.034412,           0.0088982,            0.020368,              0.9428,             0.92842,               0.995,             0.77795,            0.014912,           0.0035669,            0.011168,             0.00406,             0.00406,             0.00406
                  17,            0.030643,           0.0090567,            0.021194,             0.93184,             0.94445,               0.995,             0.81118,            0.012815,           0.0033962,            0.010681,            0.003664,            0.003664,            0.003664
                  18,            0.026503,           0.0088161,            0.017972,             0.94146,             0.94785,               0.995,             0.82674,            0.011899,           0.0033225,            0.010306,            0.003268,            0.003268,            0.003268
                  19,            0.026916,           0.0083073,            0.022362,             0.84913,             0.76837,             0.91167,             0.74023,            0.011634,           0.0031578,            0.011868,            0.002872,            0.002872,            0.002872
                  20,             0.02746,           0.0082368,            0.018691,             0.91653,             0.84059,             0.95333,             0.83165,           0.0097247,           0.0030695,           0.0093834,            0.002476,            0.002476,            0.002476
                  21,            0.024997,           0.0083707,            0.021688,             0.93193,             0.98315,               0.995,             0.79906,            0.010964,            0.003002,           0.0071428,             0.00208,             0.00208,             0.00208
                  22,            0.028034,           0.0091182,             0.01917,             0.94629,             0.97884,               0.995,             0.86732,            0.010319,           0.0030014,           0.0066842,            0.001684,            0.001684,            0.001684
                  23,            0.022138,            0.007892,            0.012848,             0.94289,             0.98686,               0.995,             0.89998,           0.0091105,            0.002876,           0.0062045,            0.001288,            0.001288,            0.001288
                  24,            0.022519,           0.0079314,            0.014234,              0.9404,             0.98251,               0.995,             0.88675,           0.0085771,           0.0028125,           0.0060446,            0.000892,            0.000892,            0.000892
